Review	Liked
20030219	pagan says rule changes not necessary	1
20030219	pair to face court over ayr murder	1
20030219	patterson defends decision not to attend health	1
20030219	patterson no show displays govts arrogance crean	1
20030219	patterson snubs health meeting to avoid lions den	1
20030219	peace agreement may bring respite for venezuela	1
20030219	pienaar shines as ajax frustrate arsenal	1
20030219	plan for second skatepark	1
20030219	plan to encourage farmers into plantation timber	1
20030219	png nurses strike after colleague raped on way to	1
20030219	police cracking down on driver safety	0
20030219	police defend aboriginal tent embassy raid	1
20030219	policewomen accusations feature at federal crime	1
20030219	probe launched into plane crash	1
20030219	program to monitor forest harvested areas	1
20030219	public urged to check gas cylinders	1
20030219	public warned about phone scam	1
20030219	qantas international crews to strike over pay	1
20030219	qantas war plan to cut 2500 jobs outrages unions	1
20030219	qr not planning northern route sackings	1
20030219	questions public anger grows after korean subway	0
20030219	rabbit control program on trial	1
20030219	radioactive spill at wmcs olympic dam mine	1
20030219	rain eases wheatbelt water woes	1
20030219	reading go third in first division	1
20030219	record amount for gladstone ventures	1
20030219	refshauge wins defamation court case	1
20030219	regulator to inspect gm canola trials	1
20030219	report highlights container terminal potential	1
20030219	resource stocks boost all ords	1
20030219	restraint order issued against anti discrimination	1
20030219	rfs rejects claim that act authorities spurned	1
20030219	ricciuto undergoes surgery on injured ankle	1
20030219	rice mill closures to put 300 out of work	1
20030219	rsl angry about reports of troop harassment	0
20030219	safety review begins after bushwalker death	1
20030219	sa premier calls for action over river murray	1
20030219	saudi arabians to stand trial over al qaeda	1
20030219	saudi arabia tells arabs war on iraq inevitable	1
20030219	search continues for victims in s korean subway	1
20030219	second resolution on iraq expected shortly un	0
20030219	shire offers assurances over finances	1
20030219	six palestinians killed in gaza incursion	0
20030219	slow recovery predicted for aust economy	0
20030219	smoking bans hit tabcorp bottom line	1
20030219	snowtown murder trial delayed	1
20030219	states may be forced to label ethanol fuel	0
20030219	stations to get fixed home phone service	1
20030219	sterrey to steer sharks	1
20030219	still no sign of missing fisherman	0
20030219	stop changing the rules fans tell afl	1
20030219	sugar industry plan to be revealed	1
20030219	surge in new car sales in aust abs	1
20030219	swiss challengers looking to future	1
20030219	taipans placing future in publics hands	1
20030219	talk of asian nuclear arms race unhelpful downer	1
20030219	tasmanian scientists to search for east coast	1
20030219	taylor denies calling on waugh to quit	1
20030219	teen to face court over drug charges	1
20030219	testing shows dioxin above drinking water standards	1
20030219	thousands remember 61st anniversary of darwin	1
20030219	unions to ask members to support public protests	1
20030219	uni to continue tree disease study	1
20030219	us british aircraft attack sth iraq target	1
20030219	vff to buy stock feed pellets for fire affected	1
20030219	vic local councils welcome single polling day	1
20030219	victorian scientists honoured at awards	1
20030219	vowles to retire at end of season	1
20030219	wales coach accuses players of belittling red	1
20030219	warne hearing set for friday	1
20030219	webb favourite for ladies masters	1
20030219	widnes abandon paul bid	1
20030219	wildlife sanctuaries plan revealed	1
20030219	williams says tight bowling key to warriors win	1
20030219	wine chief bounces back from sacking	1
20030219	worksafe probes potato harvester injuries	1
20030220	15 dead in rebel bombing raid philippines army	0
20030220	abattoir up for sale again	1
20030220	academic upbeat about higher education review	1
20030220	administrator to be appointed to land council	1
20030220	aec to declare if nt to lose parliamentary seat	1
20030220	amcor records solid profit result	1
20030220	americas cup fourth race cancelled	1
20030220	arsenal poised to swoop on beckham report	1
20030220	aust drinking less alcohol smoking less study	0
20030220	austeel eis release due soon nsw govt	0
20030220	australian flag celebrates 100th birthday	1
20030220	awu to hold meeting over port kembla jobs	1
20030220	baby badly burnt in brisbane house fire	0
20030220	bad weather might have caused iranian plane crash	0
20030220	beckham leads as man u cut down depleted juve	0
20030220	beware the standard alcoholic drink	0
20030220	bilby dream to become reality	1
20030220	brisbane sparkies head for 10 day strike	1
20030220	britain tells nationals to leave iraq kuwait	1
20030220	british high court overturns new blair asylum	1
20030220	british magician to entomb himself in cheese	1
20030220	bungle leaves doctor waiting to practise	1
20030220	bushfire coronial inquiry winds up	1
20030220	bush thanks nato for support on turkey	1
20030220	call for ambos help in wake of funding changes	1
20030220	canegrowers hope for late summer rain	0
20030220	capriati hungry again in dubai	1
20030220	celts underdogs for uefa clash oneill	1
20030220	chambers vows to smash world mark	1
20030220	charvis pays penalty as humphreys earns shock	1
20030220	christmas is detention centre no go claims quashed	1
20030220	claim defence spending priority over health nt	1
20030220	claim education policy causing high indigenous	1
20030220	claim new code should protect autopsy consent	1
20030220	claim tas education policy causing high indigenous	1
20030220	college to continue work experience	1
20030220	concern act fire probe not covered by legal	1
20030220	concorde makes emergency landing in canada	1
20030220	coronial inquiry expected after hospital death	0
20030220	council chief laments job advertising decision	1
20030220	council general manager to step down	0
20030220	council to offer vandalism reporting reward	1
20030220	country racing clubs still hold tab fears	1
20030220	court to rule on longford gas compo today	1
20030220	cristal end eight match libertadores losing streak	1
20030220	cuper slams inter bad boy recoba	0
20030220	deportivo slip against buoyant swiss minnows basel	1
20030220	distance swimmer maroney calls it quits	1
20030220	dixon dismisses qantas monopoly claim	1
20030220	downer warns iraq action could begin soon	1
20030220	drought breaking rain may be months away	1
20030220	drought impact may be more far reaching	1
20030220	drought taking toll on insects	1
20030220	early childhood development to receive research	1
20030220	ellis webb well placed in ladies masters	1
20030220	employee granted restraining order against a d	1
20030220	england almost choke on burger king	1
20030220	england call up morris for first cap	1
20030220	epa to investigate radioactive spill in sa	1
20030220	esso not responsible for economic losses from gas	1
20030220	esso wins against class action for longford gas	1
20030220	etienne agrees to tyson fight	1
20030220	families confront korean president elect over	1
20030220	fans join flower olonga in anti mugabe protest	1
20030220	ferguson hails beckham in uniteds victory	1
20030220	fewer australians being jailed abs	1
20030220	fifa boss prepared to postpone matches for war	1
20030220	firefighters told to not attend tip blazes	1
20030220	fish cleaning facility plans announced	1
20030220	flight attendant action wont affect bundaberg	1
20030220	forest alliance rejects hindrance claims	1
20030220	former bank worker pleads guilty to theft charges	0
20030220	former treasurer charged with starting fire on sa	1
20030220	forum puts focus on regional needs	1
20030220	four nominate for nats charters towers preselection	1
20030220	france drop merceron gelez to face scots	1
20030220	french expedition site to be heritage protected	1
20030220	fuel price jumps in newcastle	1
20030220	fulham smash west brom with quickfire trio	1
20030220	ganguly leads india to victory	1
20030220	gartner wines to be wound up	1
20030220	gippsland firefighters remain on guard	1
20030220	govt canvassing ways to improve child development	1
20030220	govt to work with rhh after coroners suicide report	1
20030220	greenpeace calls for ban on gm canola	1
20030220	greens dump anti terror kits on howards doorstep	1
20030220	group airs truancy concerns	1
20030220	groups praise outgoing opposition agriculture	1
20030220	group to take over reef hq building	1
20030220	hagan to blood rookies against penrith	1
20030220	houllier backs owen to break rush scoring record	1
20030220	howard steps up criticism of anti war protesters	1
20030220	howard vows to stay on as pm until iraq crisis	1
20030220	hussein says iraq doesnt want war with us	1
20030220	illegal fishing hot spots identified	0
20030220	immigration raid in melbourne draws flak	1
20030220	impatience grows over water management plan	1
20030220	indy meeting likely to include rain racing talks	1
20030220	injuries threaten united finals bid	1
20030220	interest sought in building stage one of bypass	1
20030220	investigations underway into qantas skid	1
20030220	investor in planned ethanol plant laments trial	1
20030220	iran military plane crash kills 302	0
20030220	iran plane crashes with at least 250 aboard tv	0
20030220	iraqi use of human shields a war crime us	1
20030220	italy remain unchanged for ireland clash	1
20030220	kalgoorlie boulder crime rate declines	1
20030220	kayakers rescued after second day of adventure	1
20030220	kirwan sticks with winning formula for ireland	1
20030220	korean books atp date with top seed roddick	1
20030220	landholder contribution still under discussion	1
20030220	lawyers allowed to visit manus is detention centre	1
20030220	lawyers set to appeal mans sept 11 conviction	1
20030220	lawyers to review case before any esso appeal	1
20030220	lend leases posts 370 million loss	1
20030220	lethal backs nine point rule change	1
20030220	m5 airport tunnel remains closed after accident	0
20030220	macarthurs kingfisher suffers minor damage	0
20030220	man apologises for plane hijack	1
20030220	man awaits sentencing over denmark murder	1
20030220	man being questioned over qld backpacker death	1
20030220	man charged over roxby downs plane incident	1
20030220	man in hospital after stabbing attack	0
20030220	man loses defamation compo bid	0
20030220	man on murder charge refused bail	1
20030220	man to face court over alleged hijack	0
20030220	man to face court over attempted armed robbery	1
20030220	man who whacked thatcher gets 3 months jail	0
20030220	maroney calls it quits	1
20030220	medal recognises islander war efforts	1
20030220	meetings to consider glenelg river future	1
20030220	melbourne man receives massive compo payout after	1
20030220	mgladbach leave danger zone with home win	1
20030220	mine rating challenge result expected in march	0
20030220	miner exploring for nickel deposits	1
20030220	molotov cocktail suspected in melb hotel fire	1
20030220	more anti war rallies planned	1
20030220	more land for noosa national park	1
20030220	more teachers are at danger from students union	1
20030220	more than 60 detained after immigration raid	1
20030220	more women unlikely to join mens pga masters	1
20030220	mosley ready for engine compromise	1
20030220	motorists will avoid ethanol blended fuels labor	1
20030220	mud crab business on the move	1
20030220	murray meeting wouldnt detract from ministerial	1
20030220	nats seek probe bushfires probe	1
20030220	new boat takes to waterways	1
20030220	new zealand to discover kenya fate on thursday	1
20030220	no funding discussion until after nsw poll	1
20030220	no penalties for church over damaged monument	1
20030220	nsw coalition making magic pudding election	1
20030220	nt govt announces community benefit grants	1
20030220	offers roll in for classic holden	1
20030220	oil prices hit new high	1
20030220	oldfield to front court over one nation pre	1
20030220	one nation pre selection hearing continues in nsw	1
20030220	packer hands in licence as pistol investigation	1
20030220	pakistani air force chief killed in air crash	0
20030220	palaszczuk wont make disaster funds promise	1
20030220	parks move to protect high conservation areas	1
20030220	peace group denies members harassing soldiers	1
20030220	people trapped after m5 pile up	0
20030220	pilot makes emergency landing at adelaide airport	1
20030220	players continue zimbabwe protest	1
20030220	pm criticism of protesters disgraceful crean	1
20030220	pm defends criticism of anti war protesters	1
20030220	police continue probe into human remains find	1
20030220	police find second cannabis crop	1
20030220	police hope to gain an edge on weapons users	1
20030220	police locate missing family of 6 after house	0
20030220	police make arrests after drug raids	1
20030220	police seek help over pay tv piracy	1
20030220	police tax office to fight chop chop trade	1
20030220	police wont rule out link between drug plantations	1
20030220	politicians breeding publics anti troop sentiment	1
20030220	pollock denies split in proteas camp	1
20030220	population drift forces new federal boundaries	1
20030220	powell to visit asia in bid to ease nth korean	1
20030220	predictions of good wheatbelt rain	1
20030220	probe launched into fatal police pursuit	1
20030220	protesters condemn howard criticism of anti war	1
20030220	protocols were followed in immigration raids	1
20030220	public warned about snake handling dangers	1
20030220	pumping continues at richmond after flooding	1
20030220	qantas draws flak over redundancy talk	1
20030220	qantas flags job cuts despite record profit	1
20030220	qantas records 353 million profit	1
20030220	qfvg upset over retail prices	1
20030220	qld govt says new hospital on schedule	1
20030220	qld nats close to deal with libs springborg	1
20030220	racing club sneak a point in peru	1
20030220	rain boosts farmers confidence	1
20030220	rain may force aussie bowling change buchanan	1
20030220	ram raid targets newsagency	1
20030220	road funds to tackle flooding	1
20030220	ronaldo puts real back in the race	1
20030220	ruiz hat trick as guatemala rout nicaragua	1
20030220	saff to gauge feelings on planned crown lands bill	1
20030220	safin escude on rotterdam comeback trail	1
20030220	sa govt defends moves to force fine defaulters to	1
20030220	sa govt to appeal against fishing decision	1
20030220	schmeichel set to miss arsenal trip	1
20030220	school to reopen after paint fume scare	1
20030220	scotland refuse to panic	1
20030220	seaman injury crisis for arsenal	1
20030220	self cloning crayfish threatens native species	1
20030220	socceroos creep up world rankings	1
20030220	solar cars to turn heads	1
20030220	sporting task force planning begins	1
20030220	start of americas cup race four delayed	1
20030220	stone to stay on as federal liberal president	1
20030220	sun needed for good downpour	1
20030220	taipans win keeps play off dreams alive	1
20030220	tas police to question injured man about house fire	1
20030220	taxi driver to face sex trial	1
20030220	tension increases after fighter strays into sth	1
20030220	terror weapons pose minimal risk british expert	0
20030220	thousands to visit dairy field days	1
20030220	three israelis injured as hamas made rockets hit	1
20030220	tnz shuffles pack as defeat looms	1
20030220	tomasson gives milan narrow win over lokomotiv	1
20030220	tough times ahead for water allocations	0
20030220	tourism industry must be protected from iraq	1
20030220	trial hears woman denied killing fiance	1
20030220	triathletes back bris to gold coast bikeway	1
20030220	truck roll destroys furniture	1
20030220	turkey stands firm against us aid offer	0
20030220	turkey still undecided over us aid for gulf attack	1
20030220	union disunity over mccains enterprise agreement	1
20030220	un security council ends two day open debate on	1
20030220	us invited to talks with burmese military junta	0
20030220	us launches homeland security ready campaign	1
20030220	us markets remain jittery in shadow of war	1
20030220	us tells turkey time running out for aid offer	1
20030220	us to take no wto action against europe over ge	1
20030220	uzbek journalist sentenced to seven years in jail	0
20030220	verstappen pleased with new minardis track debut	1
20030220	vic govt speaks out over rice mill closure claims	1
20030220	wa fire crews battle bushfire at marangaroo	1
20030220	war talk takes toll on all ords	1
20030220	war with iraq could cost 120bn economists	1
20030220	watkins jeered at education forum	1
20030220	wa wine destined for us	1
20030220	western power reveals power supply bid details	1
20030220	wide bay economy growing stronger	0
20030220	wine exporters urged to push ahead	1
20030220	winemakers move considered loss for tas industry	1
20030220	woman faces court over child prostitution	1
20030220	yacht loses mast in trawler incident	0
20030220	zimbabwe bars british reporter from world cup	1
20030221	accc too timid in petrol price investigations	1
20030221	action wanted to lower indigenous unemployment rate	1
20030221	aec ruling to scrap federal seat hurts us the most	1
20030221	aek shut out malaga to claim goalless draw	1
20030221	allan guilty on cash charges	0
20030221	allan unlikely to appeal fine	0
20030221	ama airs hospital reform concerns	1
20030221	ama delivers health concerns list to politicians	1
20030221	andersson atwal miss record in malaysia	1
20030221	antarctic rocks could aid global warming	1
20030221	anz confident of growth in tough environment	1
20030221	anz to pay more than 260 million to tax office	1
20030221	arab states press for war crimes condemnation of	1
20030221	at least 26 dead in us club fire	0
20030221	at least 42 injured in rhode island nightclub fire	0
20030221	aussie dollar continues its climb	1
20030221	aust could be in top four al qaeda target list	1
20030221	australia to withdraw bougainville peace monitors	1
20030221	aust share market ends week in negative territory	0
20030221	bartlett vows to block govt plans for sa nuclear	1
20030221	beattie unaware of tree clearing funds hold up	1
20030221	bedi labels murali a chucker	1
20030221	belgian police recover stolen works	1
20030221	bhp port kembla production restarts	1
20030221	big guns back to business in the premier league	1
20030221	blake paradorn upset in memphis	1
20030221	bracks backs ruling on deans 50000 a year pension	1
20030221	british govt clashes with high court over asylum	1
20030221	british pop awards will be platform for iraq	1
20030221	briton stabbed to death in bangkok	1
20030221	brothel owner acquitted of hiring underage	1
20030221	brothel owner fronts court after allegedly hiring	0
20030221	burmas suu kyi sentenced to one day jail fined	0
20030221	bushfires burn over 1m hectares	1
20030221	cairns canberra grab nbl wins	1
20030221	cairns injured in kiwi nightclub brawl	1
20030221	cairns injured in nightclub brawl report	1
20030221	call to scrap national plantation target	1
20030221	candleholders recalled as fire risk	1
20030221	carr off the hook over brogden debate pm	1
20030221	celts sink 10 man stuttgart	1
20030221	central qld park area expanded	1
20030221	centrelink to offer drought counselling	1
20030221	china to wage chemical war on chewing gum blobs	1
20030221	chirac mugabe talk on sidelines of africa summit	1
20030221	christmas island residents not aware of detention	0
20030221	claim low oil inventory causing high petrol prices	1
20030221	claims live sheep cattle exports threatening tas	1
20030221	claims more rain will boost stock prices	1
20030221	class action may cost esso 50m	1
20030221	clinton cancels trip to india	1
20030221	coalition promises to scrap anglers fee	1
20030221	committal continues into goulburn jail riot	0
20030221	costello unhappy he wasnt consulted by stone	0
20030221	council approves poultry farm	1
20030221	council awaits more rain	1
20030221	council considers indigenous caravan park plan	1
20030221	council elections planned for may	1
20030221	council rejects combined field days stand idea	1
20030221	council to change tree protection by law	1
20030221	council to fund groundwater study	1
20030221	counsel begin summing up at warnes doping hearing	1
20030221	criminal charges pending in s korea subway probe	0
20030221	crocs prove too good for bullets	1
20030221	date set for bushfires coronial inquiry	1
20030221	dean to receive lifetime parliamentary pension	1
20030221	death spells end to record marriage	1
20030221	demons thump tigers	1
20030221	deportivo cali outclass sulky river plate	1
20030221	deschamps chases old flame marseille	1
20030221	disaster funds to allow shire to complete other	0
20030221	dortmund ready to hound bayern	1
20030221	downpour closes tourist roads	1
20030221	drought impacting on roadworks	1
20030221	drought predicted to have long lasting impact	0
20030221	education dept considers rural concerns	1
20030221	family court rejects bid to invalidate transsexual	1
20030221	farmers celebrate good rain	1
20030221	fears patterson hiding bad news tas health minister	0
20030221	federal funds sought for wave studies	1
20030221	fed govt considering appeal over transsexual	1
20030221	firefighters win battle to contain beechford blaze	1
20030221	fishers to meet minister over court ruling	1
20030221	fishing group seeks action over pilchard imports	1
20030221	flight attendants action likely to affect	1
20030221	footy great gets behind indigenous rights campaign	1
20030221	former socceroos coach thomson dies	1
20030221	funeral held for cricket legend	1
20030221	funk leads elkington in california	1
20030221	gebrselassie plans world record comeback	1
20030221	g g to witness church bell hand over	1
20030221	gold coast gets us tourism assurances	1
20030221	group concerned rain brings wrong impression	0
20030221	group gets clearer understanding of farmers gm	1
20030221	guga reaches buenos aires quarters	1
20030221	health service speaks out over patient death	1
20030221	hoddle st murderer granted right to seek judicial	1
20030221	horse ride to re enact mt isa mine find	1
20030221	howard repeats zimbabwe boycott call	1
20030221	hundreds of triathletes to head for coffs	1
20030221	hungarian thief makes amends by posts	1
20030221	hyypia the hero as liverpool bounce back	1
20030221	iaea to visit iran to assess nuclear program	1
20030221	indian jailed for smuggling pakistani in suitcase	1
20030221	indian players to retrace gandhi journey	1
20030221	indonesia says australia travel warnings	1
20030221	industrial action to impact on brisbane schools	1
20030221	investigation underway into m5 pile up	1
20030221	investigator probes sa hospital staff complaints	1
20030221	jackson hits back at explosive british tv interview	1
20030221	japanese tourist drowns in gold coast surf	1
20030221	joblink issues statement over sacking	1
20030221	keegan aiming to bring arsenal down to earth	0
20030221	kenya awarded points for kiwi call off	1
20030221	kylie minogues posterior is hit of the brits	1
20030221	land council dismissed administrator appointed	1
20030221	langer named one day player of year	1
20030221	liverpool win but lazio held by krakow	1
20030221	llewellyn not impressed by patterson so show	0
20030221	longreach water restrictions to remain	1
20030221	loose cannon afridi set for pakistan against	0
20030221	lovenkrands dreaming of hampden return	1
20030221	low water sparks boat ban for lake albert	1
20030221	male dna found on body of murdered schoolgirl	1
20030221	man accused of selling bali bomb chemicals goes on	1
20030221	man appears in court charged with stuttle murder	1
20030221	man charged with stuttle murder	1
20030221	man fails to overturn conviction over 1600yo bell	0
20030221	man in hospital after receiving severe electric	1
20030221	man in hospital after stabbing	0
20030221	man jailed for fatally stabbing ex de facto	0
20030221	man jailed for life over axe murder	1
20030221	man to be re questioned over stuttle murder	1
20030221	man to face court over fatal hit and run	1
20030221	man u agreed deal with eriksson ferguson	1
20030221	man who threatened melbourne water supply bailed	1
20030221	map highlights potential river salinity problems	1
20030221	mayor angry over mural vandalism	0
20030221	mining giant calls for funding boost for native	1
20030221	montgomery enters us indoor nationals	1
20030221	more rain may delay tougher water restrictions	1
20030221	more us troops to help hunt abu sayyaf rebels	1
20030221	mp wants tank battalion rumours investigated	1
20030221	mp welcomes police station announcement	1
20030221	nardell mine closes as receiver appointed	1
20030221	nauru appeals for help to keep nations airline	1
20030221	new battle of britain looming in uefa cup	1
20030221	newcastle city notch wins stallions draw with south	1
20030221	new commercial mud crabbing restrictions planned	1
20030221	new disability respite service	1
20030221	n korea ducks nuclear talk at nam summit	1
20030221	n korea warns it wont beg for peace	1
20030221	no cost blowouts forecast for water treatment plan	1
20030221	nsw coroner clears docs over death of toddler	1
20030221	nsw graziers record heavy rainfall	0
20030221	nsw opps drug free prison plan not new amery	1
20030221	nursing home worker suspended	1
20030221	olonga sacked by his club	1
20030221	one million tickets sold for rugby world cup	1
20030221	otago open super 12 with a win	1
20030221	owners hesitant over northerlys overseas jaunt	1
20030221	pair face court over machete attack	1
20030221	palestinian killed at gaza strip crossing point	0
20030221	patterson irresponsible with no show edmond	1
20030221	patterson no show childish wa minister	0
20030221	patterson says health meeting a waste of time	0
20030221	petrol prices on the rise	1
20030221	petrol will hit 120 if war breaks out ssa	1
20030221	plan may include puckapunyal roo cull	1
20030221	planning for intersection revamp begins	1
20030221	pm accuses european countries of encouraging saddam	1
20030221	pm defends protest comments	1
20030221	pm has no choice but to stay on through iraq	1
20030221	pm praises costello over leadership patience	1
20030221	png governor general urges election unity	1
20030221	police charge man over stabbing	0
20030221	police continue investigating cannabis crops	1
20030221	police stations face uncertainty	1
20030221	powell calls on un to uphold responsibilities over	1
20030221	push likely to seek more aged care workers	1
20030221	push to extend fraser is world heritage listing	1
20030221	qantas plane makes emergency landing	1
20030221	qantas says it has no info as prime terrorist	1
20030221	qantas urged to update security in shadow of	1
20030221	qld govt rejects land acquisition claims	1
20030221	racv not surprised by petrol rationing talk	0
20030221	rail firm to assess workers needs	0
20030221	rain brings stock losses	1
20030221	rain causes chaos on melbourne roads	1
20030221	rain expected to continue across act	0
20030221	rainfall likely to clear on weekend	1
20030221	rain in nsw a welcome relief but drought not over	1
20030221	rain not enough to be drought breaking	1
20030221	rain offers water supply boost	1
20030221	rejuvenated tyson cured by cash injection	1
20030221	residents get fire assurances	1
20030221	retail sector airs trading hours review concerns	1
20030221	romario jeered teams brawl as fluminense held	1
20030221	round the world in no forget it	0
20030221	ruddock commends australias traveller controls	1
20030221	salinity experts map water catchments	1
20030221	sa nt to lose seats in federal parliament	1
20030221	sas soldier charged with misconduct while in e	1
20030221	schumacher seeks more speed from less noise	1
20030221	seaman set for ajax match	1
20030221	search for better life pays off	1
20030221	second us nightclub fire kills 10	1
20030221	senators offer input into coast issues	1
20030221	several dead in fire at rhode island nightclub	0
20030221	shire says planning policy not compromised	1
20030221	slapping paedophile to have arm amputated	1
20030221	state territory health ministers arrive for meeting	1
20030221	stolen wage report looks to improve indigenous	1
20030221	strike expected to mean milk shortages	0
20030221	strike may disrupt nsw milk supply	1
20030221	study considers alternative crops for sugar regions	1
20030221	study to probe snowy motorcycle crashes	1
20030221	teachers shortage set to get worse report	0
20030221	team mates send best wishes to warne	1
20030221	telstra chief embarrassed with 1 billion writedown	1
20030221	telstra punished after massive hong kong write down	0
20030221	telstra still hurting from hk joint venture	1
20030221	thieves target esperance cars	1
20030221	timor sea treaty will be ratfied shortly martin	1
20030221	troubled torino praying for a miracle	0
20030221	tuckey laments gungahlin drive planning problems	1
20030221	turkey delays vote on us troops	1
20030221	turkey digs heels in us lobbies for support for	1
20030221	turkey forces us to weigh up strategies	1
20030221	union condemns qantass contract labour plan	1
20030221	us asks indonesia to improve human rights record	1
20030221	us boost troop numbers in philippines	1
20030221	us chiropractor to address gold coast gathering	1
20030221	us intelligence analyst found guilty of spying	0
20030221	usq researchers prepare for move	1
20030221	valencia sense victory in benitez v benitez	1
20030221	vic govt gets farmers drought update	1
20030221	victorian farmers hope rain will break drought	1
20030221	victoria welcomes rain relief	1
20030221	vinnicombe rejects mps freeway claims	1
20030221	waratahs go down in super 12 opener	1
20030221	war impact on exercise unknown	0
20030221	warne decision to be made saturday	1
20030221	warne dope hearing underway	1
20030221	williams and mclaren plan to take fia to court	1
